id,category_he,category_en,question_he,display_order,asset_type,search_keywords_hebrew,created_at,updated_at
1,אבחון דופק ולשון,Pulse & Tongue Diagnosis,מה המשמעות הקלינית של לשון חיוורת ונפוחה עם סימני שיניים?,1,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
2,אבחון דופק ולשון,Pulse & Tongue Diagnosis,על מה מעיד חיפוי לשון צהוב ועבה במחמם האמצעי?,2,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
3,אבחון דופק ולשון,Pulse & Tongue Diagnosis,מה ההבדל באבחנה בין לשון סגולה (Purple) לבין לשון אדומה כהה (Crimson)?,3,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
4,אבחון דופק ולשון,Pulse & Tongue Diagnosis,מהי המשמעות של חריץ מרכזי המגיע עד קצה הלשון?,4,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
5,אבחון דופק ולשון,Pulse & Tongue Diagnosis,מה מעיד קצה לשון אדום מאוד עם נקודות אדומות (Red Points)?,5,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
6,אבחון דופק ולשון,Pulse & Tongue Diagnosis,כיצד מתבטא חוסר יין (Yin Def) במראה הלשון?,6,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
7,אבחון דופק ולשון,Pulse & Tongue Diagnosis,"האם ורידים תת-לשוניים (Sublingual) כהים מוזכרים, ומה משמעותם?",7,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
8,אבחון דופק ולשון,Pulse & Tongue Diagnosis,מה המשמעות של לשון רועדת (Quivering) אצל מטופל מבוגר?,8,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
9,אבחון דופק ולשון,Pulse & Tongue Diagnosis,מה ההבדל בין דופק מהיר (Rapid) לדופק דהור (Racing/Hurried)?,9,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
10,אריכות ימים ואיכות חיים,Longevity & Dignity,"במשפט אחד, מהו הקושי הבריאותי העיקרי שמפריע לאיכות החיים שלך כיום?",10,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
11,אריכות ימים ואיכות חיים,Longevity & Dignity,"האם היציאות שלך סדירות, או שאת/ה סובל/ת מעצירות כרונית או משלשולים תכופים?",11,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
12,אריכות ימים ואיכות חיים,Longevity & Dignity,"האם יש לך תיאבון בריא ואת/ה מצליח/ה לשמור על משקל יציב, או שיש ירידה במשקל ובחשק לאכול?",12,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
13,אריכות ימים ואיכות חיים,Longevity & Dignity,האם את/ה חווה קוצר נשימה או התעייפות מהירה גם במאמץ קל?,13,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
14,אריכות ימים ואיכות חיים,Longevity & Dignity,"האם שנת הלילה שלך שקטה, או שאת/ה מתעורר/ת לעיתים קרובות?",14,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
15,אריכות ימים ואיכות חיים,Longevity & Dignity,"האם את/ה מרגיש/ה לעיתים סחרחורת, חוסר יציבות בהליכה, או חשש מנפילה?",15,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
16,אריכות ימים ואיכות חיים,Longevity & Dignity,האם כאבים במפרקים או בגב מגבילים את התנועה שלך בבית או בחוץ?,16,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
17,אריכות ימים ואיכות חיים,Longevity & Dignity,"האם את/ה סובל/ת מקור קיצוני בכפות הידיים והרגליים, או דווקא מגלי חום והזעה?",17,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
18,אריכות ימים ואיכות חיים,Longevity & Dignity,"האם את/ה או הקרובים אליך מבחינים בשינויים בזיכרון, בלבול, או קושי בריכוז לאחרונה?",18,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
19,אריכות ימים ואיכות חיים,Longevity & Dignity,"האם מצב הרוח שלך יציב, או שאת/ה חווה תקופות של עצבות עמוקה, חרדה או תחושת בדידות?",19,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
20,אריכות ימים ואיכות חיים,Longevity & Dignity,"האם את/ה נתקל/ת בקושי לשלוט בשתן, או בקושי להתחיל במתן שתן?",20,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
21,אריכות ימים ואיכות חיים,Longevity & Dignity,האם חלה ירידה משמעותית בראייה או בשמיעה שמפריעה לך בתקשורת עם הסביבה?,21,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
22,אריכות ימים ואיכות חיים,Longevity & Dignity,האם ריבוי התרופות גורם לך לתופעות לוואי במערכת העיכול?,22,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
23,אריכות ימים ואיכות חיים,Longevity & Dignity,מהו הדבר החשוב לך ביותר לשמר בשנים הקרובות?,23,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
24,איזון וחיזוק (מבוגרים),Balance & Strength (Adults),"במשפט אחד, מהו האתגר הבריאותי המרכזי שמונע ממך להרגיש במיטבך כיום?",24,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
25,איזון וחיזוק (מבוגרים),Balance & Strength (Adults),"כיצד את/ה חווה מתח בחיי היומיום? (התפרצויות כעס, תחושת תקיעות בגרון/חזה, חרדה)",25,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
26,איזון וחיזוק (מבוגרים),Balance & Strength (Adults),(לנשים) האם המחזור החודשי שלך סדיר? האם את סובלת מכאבים חזקים או PMS?,26,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
27,איזון וחיזוק (מבוגרים),Balance & Strength (Adults),"האם את/ה סובל/ת מנפיחות בבטן, צרבות, IBS או עייפות בולטת לאחר ארוחות?",27,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
28,איזון וחיזוק (מבוגרים),Balance & Strength (Adults),"בסולם של 1-10, כמה אנרגיה יש לך באמצע היום? האם את/ה זקוק/ה לקפה כדי לתפקד?",28,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
29,איזון וחיזוק (מבוגרים),Balance & Strength (Adults),"האם את/ה סובל/ת מכאבי ראש, מיגרנות, או מתח כרוני באזור הכתפיים והצוואר?",29,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
30,איזון וחיזוק (מבוגרים),Balance & Strength (Adults),"האם יש לך פציעות ספורט ישנות שחוזרות להציק, או כאבי גב תחתון?",30,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
31,איזון וחיזוק (מבוגרים),Balance & Strength (Adults),"האם הידיים והרגליים שלך נוטות להיות קרות תמיד, או שאת/ה סובל/ת מחום והזעת יתר?",31,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
32,איזון וחיזוק (מבוגרים),Balance & Strength (Adults),"האם את/ה נוטה לחלות לעיתים קרובות, או סובל/ת מאלרגיות עונתיות וסינוסיטיס?",32,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
33,איזון וחיזוק (מבוגרים),Balance & Strength (Adults),"האם העור שלך נוטה לאקנה, אדמומיות, פריחות או יובש קיצוני?",33,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
34,איזון וחיזוק (מבוגרים),Balance & Strength (Adults),"האם אורח החיים שלך כולל ישיבה ממושכת, או פעילות גופנית אינטנסיבית מדי?",34,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
35,איזון וחיזוק (מבוגרים),Balance & Strength (Adults),"האם יש לך חשקים עזים וספציפיים (מתוק, מלוח, שומני) כשאת/ה עייף/ה או לחוץ/ה?",35,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
36,איזון וחיזוק (מבוגרים),Balance & Strength (Adults),"אם הטיפול יצליח מעבר למצופה, איך ייראו החיים שלך בעוד 3 חודשים מהיום?",36,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
37,שיקום וטיפול בכאב,Pain Rehabilitation,"במשפט אחד, מהי הפציעה או הטראומה העיקרית שמביאה אותך לטיפול היום?",37,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
38,שיקום וטיפול בכאב,Pain Rehabilitation,"כיצד היית מתאר/ת את הכאב? האם הוא חד ודוקר, עמום ולוחץ, או שורף?",38,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
39,שיקום וטיפול בכאב,Pain Rehabilitation,"האם הכאב מחמיר באופן משמעותי בלילה, או אפילו מעיר אותך משינה?",39,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
40,שיקום וטיפול בכאב,Pain Rehabilitation,האם את/ה מרגיש/ה החמרה בכאב או בנוקשות כשמזג האוויר משתנה?,40,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
41,שיקום וטיפול בכאב,Pain Rehabilitation,האם את/ה סובל/ת מנוקשות שמגבילה את טווח התנועה?,41,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
42,שיקום וטיפול בכאב,Pain Rehabilitation,"האם המקום הפגוע מרגיש חם למגע ואדום, או קר ונוטה להכחיל?",42,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
43,שיקום וטיפול בכאב,Pain Rehabilitation,"האם יש תחושת נימול, הירדמות, או זרמים חשמליים המקרינים מהאזור הפגוע לגפיים?",43,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
44,שיקום וטיפול בכאב,Pain Rehabilitation,"האם הכאב קשור לתנוחת עבודה (ישיבה ממושכת מול מחשב, עמידה על הרגליים)?",44,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
45,שיקום וטיפול בכאב,Pain Rehabilitation,האם הכאב מוחמר בתקופות של מתח רגשי או עומס נפשי?,45,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
46,שיקום וטיפול בכאב,Pain Rehabilitation,"האם הכאב הנוכחי קשור לטראומה ישנה (תאונת דרכים, נפילה מלפני שנים) שמעולם לא טופלה כראוי?",46,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
47,שיקום וטיפול בכאב,Pain Rehabilitation,"אילו תרופות או משככי כאבים את/ה נוטל/ת באופן קבוע, ומה רמת ההקלה שהם מספקים?",47,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
48,שיקום וטיפול בכאב,Pain Rehabilitation,"אילו טיפולים ניסית בעבר לבעיה זו (פיזיותרפיה, כירופרקטיקה, הזרקות)?",48,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
49,שיקום וטיפול בכאב,Pain Rehabilitation,מהי הפעולה הספציפית שתרצה/י לחזור לעשות ללא כאב?,49,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
50,בהירות וחוסן מנטלי,Mental Clarity & Resilience,"האם את/ה שם/ה לב לירידה בזיכרון לטווח קצר, או קושי לשלוף מילים?",50,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
51,בהירות וחוסן מנטלי,Mental Clarity & Resilience,"כיצד את/ה מגיב/ה לדד-ליין או ללחץ? האם את/ה נכנס/ת לחרדה וקיפאון, או פועל/ת?",51,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
52,בהירות וחוסן מנטלי,Mental Clarity & Resilience,"האם את/ה רגיש/ה מאוד לרעשים חזקים, המונים, או למצבי רוח של אנשים אחרים?",52,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
53,בהירות וחוסן מנטלי,Mental Clarity & Resilience,האם את/ה מאבד/ת סבלנות מהר או מתרגז/ת בקלות כשדברים לא מסתדרים?,53,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
54,בהירות וחוסן מנטלי,Mental Clarity & Resilience,"האם בבוקר המוח שלך צלול, או שאת/ה מתעורר/ת עם תחושת כבדות וערפל?",54,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
55,בהירות וחוסן מנטלי,Mental Clarity & Resilience,האם קשה לך להתמודד עם שינויים בלתי צפויים בתוכניות?,55,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
56,בהירות וחוסן מנטלי,Mental Clarity & Resilience,האם אינטראקציה חברתית ממושכת מרוקנת אותך מאנרגיה מנטלית?,56,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
57,בהירות וחוסן מנטלי,Mental Clarity & Resilience,"מהו הכוח המנטלי שהכי היית רוצה לחזק? (מיקוד, רוגע, זיכרון, או ביטחון עצמי)",57,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
58,בקרת אקלים פנימית,Internal Climate Control,"האם את/ה מרגיש/ה שינויים פיזיים בגוף (כאבי ראש, מפרקים, עייפות) עוד לפני שמזג האוויר משתנה בחוץ?",58,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
59,בקרת אקלים פנימית,Internal Climate Control,האם את/ה סובל/ת יותר בחום הקיץ או בקור החורף?,59,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
60,בקרת אקלים פנימית,Internal Climate Control,"האם חשיפה לרוח חזקה או למזגן ישיר גורמת לך לכאבי ראש, צוואר תפוס או צינון מיידי?",60,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
61,בקרת אקלים פנימית,Internal Climate Control,"האם את/ה נוטה לסבול מיובש קיצוני (עור סדוק, צמא תמידי, שיעול יבש) בסביבות ממוזגות?",61,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
62,בקרת אקלים פנימית,Internal Climate Control,האם כאבי הראש שלך מופיעים בעיקר כשחם מאוד או כשיש לחץ ברומטרי נמוך/סופות?,62,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
63,בקרת אקלים פנימית,Internal Climate Control,האם את/ה חווה קשיי נשימה או החמרה באלרגיות בעונות מעבר?,63,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
64,בקרת אקלים פנימית,Internal Climate Control,האם את/ה סובל/ת משלשולים או חוסר נוחות בבטן בקיץ או מכאבי בטן בחורף?,64,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
65,בקרת אקלים פנימית,Internal Climate Control,האם העור שלך מגיב בפריחות מגרדות בחום או באקזמה וסדקים בקור?,65,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
66,בקרת אקלים פנימית,Internal Climate Control,האם את/ה מתקשה להתעורר או לתפקד בימים אפורים וחסרי שמש?,66,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
67,בקרת אקלים פנימית,Internal Climate Control,"האם את/ה מרגיש/ה מיובש/ת באופן כרוני למרות שתייה מרובה, או שאת/ה צובר/ת נוזלים בקלות?",67,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
68,בקרת אקלים פנימית,Internal Climate Control,האם השינה שלך מופרעת יותר בלילות חמים או שאת/ה מתעורר/ת מקור?,68,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
69,בקרת אקלים פנימית,Internal Climate Control,אם הטיפול יכול לעזור לך להתמודד עם עונה אחת בלבד בצורה מושלמת – איזו עונה הכי קשה לך כיום?,69,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
70,חיוניות ואריכות ימים,Vitality & Longevity,"האם את/ה מרגיש/ה שהאנרגיה שלך נגמרת בשעות הצהריים, או שיש לך כוח יציב לאורך כל היום?",70,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
71,חיוניות ואריכות ימים,Vitality & Longevity,"האם את/ה מתעורר/ת מספר פעמים בלילה, או מתקשה לחזור לישון לפנות בוקר?",71,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
72,חיוניות ואריכות ימים,Vitality & Longevity,"האם חל שינוי בתחושת הטמפרטורה שלך לאחרונה – גלי חום פתאומיים, או תחושת קור עמוקה?",72,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
73,חיוניות ואריכות ימים,Vitality & Longevity,"האם את/ה מרגיש/ה ירידה בחדות הזיכרון לטווח קצר, או קושי לשלוף מילים?",73,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
74,חיוניות ואריכות ימים,Vitality & Longevity,"כשאת/ה חולה או מבצע/ת מאמץ פיזי, האם לגוף לוקח זמן רב יותר לחזור לעצמו?",74,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
75,חיוניות ואריכות ימים,Vitality & Longevity,האם את/ה סובל/ת מנוקשות בוקר במפרקים שמשתחררת רק אחרי תנועה וחימום?,75,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
76,חיוניות ואריכות ימים,Vitality & Longevity,האם יש תחושת כבדות או נפיחות בבטן גם אחרי ארוחות קטנות וקלות?,76,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
77,חיוניות ואריכות ימים,Vitality & Longevity,האם את/ה מרגיש/ה נימול או הירדמות של הגפיים בזמן מנוחה או בשינה?,77,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
78,חיוניות ואריכות ימים,Vitality & Longevity,האם ישנו כאב קבוע המלווה אותך ומחמיר במזג אוויר קר או לח?,78,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
79,חיוניות ואריכות ימים,Vitality & Longevity,"האם השינויים בחיים (ילדים עוזבים, פרישה) מעוררים בך תחושת חופש ושמחה, או ריקנות וחרדה?",79,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
80,חיוניות ואריכות ימים,Vitality & Longevity,האם את/ה מוצא/ת את עצמך חסר/ת סבלנות או נוטה למצבי רוח דכדוכיים?,80,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
81,חיוניות ואריכות ימים,Vitality & Longevity,האם את/ה נוטל/ת מספר תרופות מרשם באופן קבוע?,81,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
82,חיוניות ואריכות ימים,Vitality & Longevity,"האם את/ה סובל/ת מיובש טורדני – בעיניים, בפה, בעור או בריריות?",82,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
83,חיוניות ואריכות ימים,Vitality & Longevity,מהו הדבר האחד שתרצה/י להמשיך לעשות ב-10 השנים הבאות ללא הגבלה?,83,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
84,חוסן חיסוני והתאוששות,Immune Shield & Recovery,"כשאת/ה מרגיש/ה סימנים ראשונים של מחלה, האם את/ה עוצר/ת ונח/ה, או ממשיך/ה בשגרה?",84,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
85,חוסן חיסוני והתאוששות,Immune Shield & Recovery,"כאשר את/ה חולה, כמה זמן לוקח לך להחלים לחלוטין ולחזור לאנרגיה מלאה?",85,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
86,חוסן חיסוני והתאוששות,Immune Shield & Recovery,"האם את/ה חשוף/ה באופן קבוע לאנשים חולים (עבודה בבית ספר, בית חולים)?",86,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
87,חוסן חיסוני והתאוששות,Immune Shield & Recovery,"האם את/ה נוטה לסבול מקור, במיוחד בידיים וברגליים, או צמרמורות בקלות?",87,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
88,חוסן חיסוני והתאוששות,Immune Shield & Recovery,האם את/ה שם/ה לב שחוסר שינה או תקופות עמוסות מובילים כמעט מייד למחלה?,88,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
89,חוסן חיסוני והתאוששות,Immune Shield & Recovery,האם את/ה נוטה לחזור לפעילות גופנית מאומצת מיד כשאת/ה מרגיש/ה מעט יותר טוב?,89,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
90,חוסן חיסוני והתאוששות,Immune Shield & Recovery,"האם את/ה מתעורר/ת בבוקר עם גודש באף, ליחה בגרון או התעטשויות?",90,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
91,חוסן חיסוני והתאוששות,Immune Shield & Recovery,האם שינויים בתזונה (סוכר או מוצרי חלב) משפיעים לרעה על מערכת הנשימה שלך?,91,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
92,חוסן חיסוני והתאוששות,Immune Shield & Recovery,האם את/ה חולה לעיתים קרובות דווקא בסופי שבוע או בחופשות (כשמפלס הלחץ יורד)?,92,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
93,חוסן חיסוני והתאוששות,Immune Shield & Recovery,האם יש לך נטייה לשיעול מתמשך שנשאר שבועות אחרי שהצינון חלף?,93,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
94,חוסן חיסוני והתאוששות,Immune Shield & Recovery,"האם את/ה מקפיד/ה על שתייה מספקת במהלך היום, או שאת/ה נוטה לשכוח לשתות?",94,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
95,חוסן חיסוני והתאוששות,Immune Shield & Recovery,האם יש עונה מסוימת בשנה שבה הבריאות שלך תמיד מתערערת?,95,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
96,חוסן חיסוני והתאוששות,Immune Shield & Recovery,מהי המטרה העיקרית שלך בחיזוק המערכת החיסונית?,96,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
97,הזנת החיים (תזונה),Nourishing Life (Nutrition),"במשפט אחד, מהו האתגר התזונתי הגדול ביותר שלך כיום?",97,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
98,הזנת החיים (תזונה),Nourishing Life (Nutrition),"האם את/ה אוכל/ת ארוחת בוקר? אם כן, האם היא חמה או קרה?",98,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
99,הזנת החיים (תזונה),Nourishing Life (Nutrition),האם את/ה נוהג/ת לאכול ארוחות כבדות בשעות המאוחרות של הלילה?,99,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
100,הזנת החיים (תזונה),Nourishing Life (Nutrition),מהי העדפת המזון שלך? מזון נא/קר או מזון מבושל וחם?,100,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
101,הזנת החיים (תזונה),Nourishing Life (Nutrition),"האם את/ה מעדיף/ה לשתות מים קפואים/קרים מאוד, או משקאות חמים/פושרים?",101,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
102,הזנת החיים (תזונה),Nourishing Life (Nutrition),"האם יש לך צורך עז במתוקים או בפחמימות, במיוחד בשעות אחר הצהריים?",102,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
103,הזנת החיים (תזונה),Nourishing Life (Nutrition),"האם את/ה מוצא/ת את עצמך ממליח/ה את האוכל בצורה מוגזמת, או מחפש/ת טעמים חריפים?",103,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
104,הזנת החיים (תזונה),Nourishing Life (Nutrition),"האם צריכת מוצרי חלב גורמת לך לליחה, נזלת או אי-נוחות בבטן?",104,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
105,הזנת החיים (תזונה),Nourishing Life (Nutrition),האם אכילת סלט גדול או ירקות חיים גורמת לך לכאבי בטן או ליציאות רכות?,105,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
106,הזנת החיים (תזונה),Nourishing Life (Nutrition),"האם את/ה חווה רעב תמידי שלא יודע שובע, או חוסר תיאבון מוחלט?",106,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
107,הזנת החיים (תזונה),Nourishing Life (Nutrition),"האם את/ה נוטה לפנות לאוכל מנחם בזמנים של מתח, עצב או שעמום?",107,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
108,הזנת החיים (תזונה),Nourishing Life (Nutrition),כמה כוסות קפה את/ה שותה ביום? האם את/ה מרגיש/ה שבלעדיו המערכת לא מתפקדת?,108,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
109,הזנת החיים (תזונה),Nourishing Life (Nutrition),"אם היית יכול/ה לשנות הרגל תזונתי אחד בלבד שישפר את בריאותך, מה הוא היה?",109,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
110,תסמונות זאנג-פו,Zang Fu Syndromes,מהי האטיולוגיה המרכזית לחוסר יאנג בכליות?,110,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
111,תסמונות זאנג-פו,Zang Fu Syndromes,אילו סימפטומים מבדילים בין חוסר צ\'י בטחול לבין חוסר יאנג בטחול?,111,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
112,תסמונות זאנג-פו,Zang Fu Syndromes,מהו עקרון הטיפול המדויק לסטגנציה של צ\'י הכבד שהפכה לאש?,112,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
113,תסמונות זאנג-פו,Zang Fu Syndromes,האם טיניטוס המופיע בקובץ שייך לסינדרום עודף או חוסר?,113,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
114,תסמונות זאנג-פו,Zang Fu Syndromes,מה ההבדל באבחנה בין ליחה-אל-חומרית לבין ליחה-אש בלב?,114,quick_question,,2026-01-29 18:00:00+00,2026-01-29 17:05:43.83851+00
