id,tongue_finding_id,aspect,finding_he,finding_en,finding_cn,characteristics,indicates_pattern,organs_affected,clinical_significance,severity,treatment_principle,example_combinations,created_at,asset_type,search_keywords_hebrew,embedding
67,pale_tongue,צבע גוף,לשון חיוורת,Pale Tongue,Dàn Bái Shé,חיוורת יותר מהרגיל; חסרת חיות; עשויה להיות מעט נפוחה,"[""חוסר דם"",""חוסר צי"",""חוסר יאנג""]","[""טחול"",""לב"",""כליות""]","מצביעה על חוסר דם או צי, לעיתים קור פנימי. מצביע על: חוסר דם, חוסר צי, חוסר יאנג",בינוני,"חיזוק דם וצי, חימום יאנג","מצבים: אנמיה, תשישות, קור בגפיים, סחרחורות; טיפול: חיזוק דם וצי, חימום יאנג",2026-01-28 16:35:01.290655,tongue,"[""לשון חיוורת"",""Pale Tongue"",""צבע גוף"",""deficiency"",""חוסר דם"",""חוסר צי"",""חוסר יאנג"",""אנמיה"",""תשישות""]",
68,red_tongue,צבע גוף,לשון אדומה,Red Tongue,Hóng Shé,אדומה יותר מהרגיל; בעלת גוון אדום בהיר; עשויה להיות יבשה,"[""חום בדם"",""חום בלב"",""אש ריקה""]","[""לב"",""כליות"",""כבד""]","מצביעה על חום בגוף, במיוחד חום ריק אם אין ציפוי. מצביע על: חום בדם, חום בלב, אש ריקה",בינוני-גבוה,"צינון חום, הזנת יין","מצבים: חום גבוה, נדודי שינה, הזעות לילה, חרדה; טיפול: צינון חום, הזנת יין",2026-01-28 16:35:01.290655,tongue,"[""לשון אדומה"",""Red Tongue"",""צבע גוף"",""heat"",""חום בדם"",""חום בלב"",""אש ריקה"",""חום גבוה"",""נדודי שינה""]",
69,deep_red_tongue,צבע גוף,לשון אדומה כהה,Deep Red Tongue,Shēn Hóng Shé,אדומה כהה מאוד; יבשה; עשויה להיות סדוקה,"[""חום קיצוני"",""חום בדם"",""אש עודפת""]","[""לב"",""כבד""]","חום חמור בגוף, סכנה לנוזלי גוף. מצביע על: חום קיצוני, חום בדם, אש עודפת",גבוה,"צינון חום דחוף, הגנה על נוזלים","מצבים: חום גבוה מאוד, דליריום, דימומים, צמא עז; טיפול: צינון חום דחוף, הגנה על נוזלים",2026-01-28 16:35:01.290655,tongue,"[""לשון אדומה כהה"",""Deep Red Tongue"",""צבע גוף"",""heat"",""חום קיצוני"",""חום בדם"",""אש עודפת"",""חום גבוה מאוד"",""דליריום""]",
70,purple_tongue,צבע גוף,לשון סגולה,Purple Tongue,Zǐ Shé,גוון סגלגל; עשויה להיות כהה; לעיתים עם נקודות,"[""סטגנציית דם"",""קור פנימי"",""סטגנציית צי""]","[""לב"",""כבד"",""מחמם אמצעי""]","חסימת זרימת דם וצי, עשויה להצביע על כאב כרוני. מצביע על: סטגנציית דם, קור פנימי, סטגנציית צי",בינוני-גבוה,"הזזת דם וצי, חימום אם יש קור","מצבים: כאבים קבועים, דיסמנוריאה, קרישי דם בווסת; טיפול: הזזת דם וצי, חימום אם יש קור",2026-01-28 16:35:01.290655,tongue,"[""לשון סגולה"",""Purple Tongue"",""צבע גוף"",""stagnation"",""סטגנציית דם"",""קור פנימי"",""סטגנציית צי"",""כאבים קבועים"",""דיסמנוריאה""]",
71,thin_white_coating,ציפוי,לשון עם ציפוי לבן דק,Thin White Coating,Báo Bái Tāi,ציפוי דק לבן; שקוף חלקית; מפוזר באופן שווה,"[""מצב תקין"",""פתוגן חיצוני קל""]","[""ריאות"",""קיבה""]","תקין או תחילת מחלה חיצונית. מצביע על: מצב תקין, פתוגן חיצוני קל",נמוך,אין צורך או גירוש קל של רוח-קור,"מצבים: בריאות תקינה, התחלת הצטננות; טיפול: אין צורך או גירוש קל של רוח-קור",2026-01-28 16:35:01.290655,tongue,"[""לשון עם ציפוי לבן דק"",""Thin White Coating"",""ציפוי"",""normal"",""מצב תקין"",""פתוגן חיצוני קל"",""בריאות תקינה"",""התחלת הצטננות""]",
72,thick_white_coating,ציפוי,לשון עם ציפוי לבן עבה,Thick White Coating,Hòu Bái Tāi,ציפוי עבה לבן; מכסה את הלשון; שומני או יבש,"[""קור פנימי"",""לחות-קור"",""ליחה""]","[""טחול"",""קיבה"",""ריאות""]","הצטברות קור ולחות בגוף. מצביע על: קור פנימי, לחות-קור, ליחה",בינוני,חימום ופירוק לחות,"מצבים: בחילות, שלשולים מימיים, ליחה לבנה, קור בבטן; טיפול: חימום ופירוק לחות",2026-01-28 16:35:01.290655,tongue,"[""לשון עם ציפוי לבן עבה"",""Thick White Coating"",""ציפוי"",""cold"",""קור פנימי"",""לחות-קור"",""ליחה"",""בחילות"",""שלשולים מימיים""]",
73,thin_yellow_coating,ציפוי,לשון עם ציפוי צהוב דק,Thin Yellow Coating,Báo Huáng Tāi,ציפוי דק צהוב; יבש; מפוזר באופן שווה,"[""חום קל"",""חום חיצוני"",""רוח-חום""]","[""ריאות"",""קיבה""]","חום בשלבים התחלתיים. מצביע על: חום קל, חום חיצוני, רוח-חום",נמוך-בינוני,צינון קל של חום,"מצבים: חום קל, כאב גרון, צמא קל; טיפול: צינון קל של חום",2026-01-28 16:35:01.290655,tongue,"[""לשון עם ציפוי צהוב דק"",""Thin Yellow Coating"",""ציפוי"",""heat"",""חום קל"",""חום חיצוני"",""רוח-חום"",""חום קל"",""כאב גרון""]",
74,thick_yellow_coating,ציפוי,לשון עם ציפוי צהוב עבה,Thick Yellow Coating,Hòu Huáng Tāi,ציפוי עבה צהוב; מכסה את הלשון; יבש או שומני,"[""חום פנימי"",""לחות-חום"",""חום עודף""]","[""קיבה"",""מעיים"",""כבד"",""כיס מרה""]","חום פנימי משמעותי עם או בלי לחות. מצביע על: חום פנימי, לחות-חום, חום עודף",בינוני-גבוה,צינון חום ופירוק לחות,"מצבים: עצירות, צרבת, טעם מר בפה, חום גבוה; טיפול: צינון חום ופירוק לחות",2026-01-28 16:35:01.290655,tongue,"[""לשון עם ציפוי צהוב עבה"",""Thick Yellow Coating"",""ציפוי"",""heat"",""חום פנימי"",""לחות-חום"",""חום עודף"",""עצירות"",""צרבת""]",
75,peeled_tongue,ציפוי,לשון ללא ציפוי,Peeled Tongue,Bō Luò Shé,חסרת ציפוי; מבריקה; עשויה להיות אדומה,"[""חוסר יין"",""חוסר צי קיבה"",""אש ריקה""]","[""קיבה"",""כליות"",""כבד""]","חוסר נוזלים וצי בגוף, במיוחד יין. מצביע על: חוסר יין, חוסר צי קיבה, אש ריקה",בינוני-גבוה,הזנת יין ונוזלים,"מצבים: יובש בפה, הזעות לילה, הרעה בערב, תיאבון ירוד; טיפול: הזנת יין ונוזלים",2026-01-28 16:35:01.290655,tongue,"[""לשון ללא ציפוי"",""Peeled Tongue"",""ציפוי"",""deficiency"",""חוסר יין"",""חוסר צי קיבה"",""אש ריקה"",""יובש בפה"",""הזעות לילה""]",
76,swollen_tongue,צורה,לשון נפוחה,Swollen Tongue,Zhǒng Dà Shé,נפוחה מהרגיל; סימני שיניים בצדדים; רכה,"[""לחות"",""חוסר צי טחול"",""חוסר יאנג""]","[""טחול"",""כליות""]","הצטברות לחות בגוף, חולשת טחול. מצביע על: לחות, חוסר צי טחול, חוסר יאנג",בינוני,חיזוק טחול ופירוק לחות,"מצבים: נפיחויות, עייפות, שלשולים רפים, משקל עודף; טיפול: חיזוק טחול ופירוק לחות",2026-01-28 16:35:01.290655,tongue,"[""לשון נפוחה"",""Swollen Tongue"",""צורה"",""damp"",""לחות"",""חוסר צי טחול"",""חוסר יאנג"",""נפיחויות"",""עייפות""]",
77,thin_tongue,צורה,לשון דקה,Thin Tongue,Shòu Xiǎo Shé,דקה מהרגיל; קטנה; חיוורת או אדומה,"[""חוסר דם"",""חוסר יין"",""חוסר נוזלים""]","[""לב"",""כבד"",""כליות""]","חוסר דם או נוזלי גוף. מצביע על: חוסר דם, חוסר יין, חוסר נוזלים",בינוני,הזנת דם ויין,"מצבים: אנמיה, יובש, חולשה, סחרחורות; טיפול: הזנת דם ויין",2026-01-28 16:35:01.290655,tongue,"[""לשון דקה"",""Thin Tongue"",""צורה"",""deficiency"",""חוסר דם"",""חוסר יין"",""חוסר נוזלים"",""אנמיה"",""יובש""]",
78,teeth_marked_tongue,צורה,לשון עם סימני שיניים,Teeth-Marked Tongue,Chǐ Hén Shé,חריצים בצדדי הלשון; נפוחה מעט; לעיתים חיוורת,"[""חוסר צי טחול"",""לחות"",""חולשה""]","[""טחול""]","חולשת טחול עם הצטברות לחות. מצביע על: חוסר צי טחול, לחות, חולשה",בינוני,חיזוק צי טחול,"מצבים: עייפות, עיכול חלש, נפיחויות, צואה רפה; טיפול: חיזוק צי טחול",2026-01-28 16:35:01.290655,tongue,"[""לשון עם סימני שיניים"",""Teeth-Marked Tongue"",""צורה"",""deficiency"",""חוסר צי טחול"",""לחות"",""חולשה"",""עייפות"",""עיכול חלש""]",
79,cracked_tongue,צורה,לשון סדוקה,Cracked Tongue,Liè Wén Shé,סדקים על הלשון; יבשה; אדומה או חיוורת,"[""חוסר יין"",""חוסר נוזלים"",""חום כרוני""]","[""כליות"",""קיבה"",""לב""]","יובש פנימי, חוסר נוזלי גוף. מצביע על: חוסר יין, חוסר נוזלים, חום כרוני",בינוני-גבוה,הזנת יין ונוזלים,"מצבים: יובש בפה, עור יבש, עצירות, הזעות לילה; טיפול: הזנת יין ונוזלים",2026-01-28 16:35:01.290655,tongue,"[""לשון סדוקה"",""Cracked Tongue"",""צורה"",""deficiency"",""חוסר יין"",""חוסר נוזלים"",""חום כרוני"",""יובש בפה"",""עור יבש""]",
80,stiff_tongue,תנועה,לשון נוקשה,Stiff Tongue,Jiāng Yìng Shé,נוקשה; קשה לתנועה; מוגבלת,"[""רוח פנימית"",""ליחה חוסמת"",""סטגנציית דם""]","[""לב"",""כבד""]","חסימה פנימית חמורה, סכנה לשבץ. מצביע על: רוח פנימית, ליחה חוסמת, סטגנציית דם",גבוה,"פיזור רוח, פירוק ליחה, הזזת דם","מצבים: קושי בדיבור, סימני שבץ מוקדמים, סחרחורות חזקות; טיפול: פיזור רוח, פירוק ליחה, הזזת דם",2026-01-28 16:35:01.290655,tongue,"[""לשון נוקשה"",""Stiff Tongue"",""תנועה"",""stagnation"",""רוח פנימית"",""ליחה חוסמת"",""סטגנציית דם"",""קושי בדיבור"",""סימני שבץ מוקדמים""]",
81,trembling_tongue,תנועה,לשון רועדת,Trembling Tongue,Chàn Dòng Shé,רועדת בהוצאה; חלשה; חיוורת,"[""חוסר צי"",""חוסר דם"",""רוח פנימית מחוסר""]","[""לב"",""טחול"",""כבד""]","חולשה פנימית משמעותית. מצביע על: חוסר צי, חוסר דם, רוח פנימית מחוסר",גבוה,"חיזוק צי ודם, הרגעת רוח","מצבים: חולשה קיצונית, רעד, פרקינסון, תשישות; טיפול: חיזוק צי ודם, הרגעת רוח",2026-01-28 16:35:01.290655,tongue,"[""לשון רועדת"",""Trembling Tongue"",""תנועה"",""deficiency"",""חוסר צי"",""חוסר דם"",""רוח פנימית מחוסר"",""חולשה קיצונית"",""רעד""]",
82,deviated_tongue,תנועה,לשון מסטה הצידה,Deviated Tongue,Wāi Xié Shé,מסטה לצד אחד; לא ישרה; עשויה להיות נוקשה,"[""רוח פנימית"",""שבץ"",""סטגנציה בצד אחד""]","[""לב"",""כבד""]","חסימת מרידיאנים, סכנה לשבץ או לאחר שבץ. מצביע על: רוח פנימית, שבץ, סטגנציה בצד אחד",גבוה מאוד,"פיזור רוח, הזזת דם, פתיחת מרידיאנים","מצבים: שבץ, נזק מוחי, שיתוק פנים; טיפול: פיזור רוח, הזזת דם, פתיחת מרידיאנים",2026-01-28 16:35:01.290655,tongue,"[""לשון מסטה הצידה"",""Deviated Tongue"",""תנועה"",""stagnation"",""רוח פנימית"",""שבץ"",""סטגנציה בצד אחד"",""שבץ"",""נזק מוחי""]",
83,dry_tongue,לחות,לשון יבשה,Dry Tongue,Gān Zào Shé,יבשה; חסרת רוק; לעיתים סדוקה,"[""חוסר נוזלים"",""חוסר יין"",""חום מייבש""]","[""כליות"",""קיבה""]","יובש פנימי, חוסר נוזלי גוף. מצביע על: חוסר נוזלים, חוסר יין, חום מייבש",בינוני-גבוה,הזנת נוזלים ויין,"מצבים: צמא, עור יבש, עצירות, שתן מרוכז; טיפול: הזנת נוזלים ויין",2026-01-28 16:35:01.290655,tongue,"[""לשון יבשה"",""Dry Tongue"",""לחות"",""deficiency"",""חוסר נוזלים"",""חוסר יין"",""חום מייבש"",""צמא"",""עור יבש""]",
84,wet_tongue,לחות,לשון רטובה,Wet Tongue,Shī Rùn Shé,רטובה מדי; מכוסה ברוק; חלקלקה,"[""לחות עודפת"",""חוסר יאנג"",""צי לא יורד""]","[""טחול"",""כליות""]","הצטברות לחות, חולשת יאנג. מצביע על: לחות עודפת, חוסר יאנג, צי לא יורד",בינוני,"חיזוק יאנג, פירוק לחות","מצבים: בחילות, הקאות ליחה, שלשולים, נפיחויות; טיפול: חיזוק יאנג, פירוק לחות",2026-01-28 16:35:01.290655,tongue,"[""לשון רטובה"",""Wet Tongue"",""לחות"",""damp"",""לחות עודפת"",""חוסר יאנג"",""צי לא יורד"",""בחילות"",""הקאות ליחה""]",
85,red_tip,אזור מיוחד,לשון אדומה בקצה,Red Tip,Shé Jiān Hóng,קצה אדום יותר; לעיתים עם נקודות; שאר הלשון תקינה,"[""חום בלב"",""אש בלב"",""חרדה""]","[""לב""]","עודף חום במרידיאן הלב. מצביע על: חום בלב, אש בלב, חרדה",בינוני,"צינון חום בלב, הרגעת שן","מצבים: נדודי שינה, חרדה, פלפיטציות, פצעים בפה; טיפול: צינון חום בלב, הרגעת שן",2026-01-28 16:35:01.290655,tongue,"[""לשון אדומה בקצה"",""Red Tip"",""אזור מיוחד"",""heat"",""חום בלב"",""אש בלב"",""חרדה"",""נדודי שינה"",""חרדה""]",
86,red_sides,אזור מיוחד,לשון אדומה בצדדים,Red Sides,Shé Biān Hóng,צדדים אדומים; לעיתים נפוחים; מרכז תקין,"[""חום בכבד"",""עליית יאנג כבד"",""סטגנציית צי""]","[""כבד"",""כיס מרה""]","עודף בכבד או כיס המרה. מצביע על: חום בכבד, עליית יאנג כבד, סטגנציית צי",בינוני,"הרגעת כבד, צינון חום","מצבים: כעס, כאבי ראש צדדיים, טעם מר, PMS; טיפול: הרגעת כבד, צינון חום",2026-01-28 16:35:01.290655,tongue,"[""לשון אדומה בצדדים"",""Red Sides"",""אזור מיוחד"",""heat"",""חום בכבד"",""עליית יאנג כבד"",""סטגנציית צי"",""כעס"",""כאבי ראש צדדיים""]",
87,red_spots,מרקם,לשון עם נקודות אדומות,Red Spots,Hóng Diǎn Shé,נקודות אדומות בולטות; על רקע ורוד או אדום; מוגבהות,"[""חום בדם"",""חום רעיל"",""סטגנציה מקומית""]","[""לב"",""כבד""]","חום משמעותי בדם. מצביע על: חום בדם, חום רעיל, סטגנציה מקומית",גבוה,"צינון דם, פירוק רעלים","מצבים: חום גבוה, זיהומים, דלקות, פריחות; טיפול: צינון דם, פירוק רעלים",2026-01-28 16:35:01.290655,tongue,"[""לשון עם נקודות אדומות"",""Red Spots"",""מרקם"",""heat"",""חום בדם"",""חום רעיל"",""סטגנציה מקומית"",""חום גבוה"",""זיהומים""]",
88,purple_spots,מרקם,לשון עם נקודות סגולות,Purple Spots,Zǐ Bān Shé,נקודות סגולות; כהות; מפוזרות או מרוכזות,"[""סטגנציית דם"",""טראומה"",""כאב כרוני""]","[""לב"",""כבד""]","חסימת זרימת דם במקומות ספציפיים. מצביע על: סטגנציית דם, טראומה, כאב כרוני",בינוני-גבוה,"הזזת דם, הפעלת זרימה","מצבים: כאב דקירתי, פציעה ישנה, קרישי דם; טיפול: הזזת דם, הפעלת זרימה",2026-01-28 16:35:01.290655,tongue,"[""לשון עם נקודות סגולות"",""Purple Spots"",""מרקם"",""stagnation"",""סטגנציית דם"",""טראומה"",""כאב כרוני"",""כאב דקירתי"",""פציעה ישנה""]",
89,gray_coating,ציפוי,לשון עם ציפוי אפור,Gray Coating,Huī Tāi,ציפוי אפור; יבש או שומני; עבה,"[""לחות-חום כרונית"",""חום פנימי עמוק"",""קור קיצוני""]","[""קיבה"",""מעיים""]","מחלה כרונית, חום או קור עמוק. מצביע על: לחות-חום כרונית, חום פנימי עמוק, קור קיצוני",גבוה,לפי קור או חום - טיפול ספציפי,"מצבים: מחלות כרוניות, עיכול ירוד ממושך, חולשה; טיפול: לפי קור או חום - טיפול ספציפי",2026-01-28 16:35:01.290655,tongue,"[""לשון עם ציפוי אפור"",""Gray Coating"",""ציפוי"",""heat"",""לחות-חום כרונית"",""חום פנימי עמוק"",""קור קיצוני"",""מחלות כרוניות"",""עיכול ירוד ממושך""]",
90,black_coating,ציפוי,לשון עם ציפוי שחור,Black Coating,Hēi Tāi,ציפוי שחור; יבש מאוד או רטוב; עבה,"[""חום קיצוני"",""קור קיצוני"",""מחלה חמורה""]","[""כליות"",""קיבה""]","מצב חמור, סכנת חיים אפשרית. מצביע על: חום קיצוני, קור קיצוני, מחלה חמורה",קריטי,טיפול חירום לפי התסמינים,"מצבים: חום גבוה מאוד ממושך, קור קיצוני, מחלה חמורה; טיפול: טיפול חירום לפי התסמינים",2026-01-28 16:35:01.290655,tongue,"[""לשון עם ציפוי שחור"",""Black Coating"",""ציפוי"",""heat"",""חום קיצוני"",""קור קיצוני"",""מחלה חמורה"",""חום גבוה מאוד ממושך"",""קור קיצוני""]",
91,central_crack,צורה,לשון עם סדק מרכזי,Central Crack,Zhōng Xīn Liè,סדק עמוק במרכז; לאורך הלשון; עשוי להגיע לקצה,"[""חוסר יין קיבה"",""חוסר יין לב"",""חולשה מולדת""]","[""קיבה"",""לב""]","חוסר יין כרוני או מולד. מצביע על: חוסר יין קיבה, חוסר יין לב, חולשה מולדת",בינוני,"הזנת יין, חיזוק שן","מצבים: עיכול חלש כרוני, חרדה, נדודי שינה; טיפול: הזנת יין, חיזוק שן",2026-01-28 16:35:01.290655,tongue,"[""לשון עם סדק מרכזי"",""Central Crack"",""צורה"",""deficiency"",""חוסר יין קיבה"",""חוסר יין לב"",""חולשה מולדת"",""עיכול חלש כרוני"",""חרדה""]",
92,greasy_coating,ציפוי,לשון עם ציפוי שומני,Greasy Coating,Nì Tāi,ציפוי שומני; דביק; קשה להסרה; עבה,"[""לחות-ליחה"",""לחות-חום"",""חסימת טחול""]","[""טחול"",""קיבה""]","הצטברות לחות וליחה בגוף. מצביע על: לחות-ליחה, לחות-חום, חסימת טחול",בינוני,פירוק לחות וליחה,"מצבים: תחושת כבדות, ליחה בחזה, בחילות, שמנוניות; טיפול: פירוק לחות וליחה",2026-01-28 16:35:01.290655,tongue,"[""לשון עם ציפוי שומני"",""Greasy Coating"",""ציפוי"",""damp"",""לחות-ליחה"",""לחות-חום"",""חסימת טחול"",""תחושת כבדות"",""ליחה בחזה""]",
93,bluish_tongue,צבע גוף,לשון כחלחלה,Bluish Tongue,Qīng Zǐ Shé,גוון כחלחל; כהה; סגלגלה,"[""סטגנציית דם חמורה"",""קור קיצוני"",""חסימת זרימה""]","[""לב"",""ריאות"",""כבד""]","חסימה חמורה של זרימת דם וצי. מצביע על: סטגנציית דם חמורה, קור קיצוני, חסימת זרימה",גבוה מאוד,"חימום וחימום יאנג, הזזת דם","מצבים: כאב חזה, קושי בנשימה, ציאנוזה, מחזור דם ירוד; טיפול: חימום וחימום יאנג, הזזת דם",2026-01-28 16:35:01.290655,tongue,"[""לשון כחלחלה"",""Bluish Tongue"",""צבע גוף"",""stagnation"",""סטגנציית דם חמורה"",""קור קיצוני"",""חסימת זרימה"",""כאב חזה"",""קושי בנשימה""]",
94,short_tongue,תנועה,לשון קצרה,Short Tongue,Duǎn Suō Shé,לא יכולה להוציא רחוק; נראית קצרה; נוקשה,"[""קור מכווץ"",""ליחה חוסמת"",""סטגנציה""]","[""לב"",""טחול""]","חסימה פנימית, התכווצות ממחלה. מצביע על: קור מכווץ, ליחה חוסמת, סטגנציה",גבוה,"פירוק ליחה, חימום, הזזת סטגנציה","מצבים: חזה חסום, דיבור קשה, חולשה; טיפול: פירוק ליחה, חימום, הזזת סטגנציה",2026-01-28 16:35:01.290655,tongue,"[""לשון קצרה"",""Short Tongue"",""תנועה"",""stagnation"",""קור מכווץ"",""ליחה חוסמת"",""סטגנציה"",""חזה חסום"",""דיבור קשה""]",
95,long_tongue,תנועה,לשון ארוכה,Long Tongue,Shēn Chū Shé,ארוכה מהרגיל; יוצאת רחוק; לעיתים אדומה,"[""חום בלב"",""אש בלב"",""רוח-חום""]","[""לב"",""טחול""]","עודף חום, במיוחד בלב. מצביע על: חום בלב, אש בלב, רוח-חום",בינוני-גבוה,צינון חום בלב,"מצבים: חום, דיבור מהיר, אי שקט, הזיות; טיפול: צינון חום בלב",2026-01-28 16:35:01.290655,tongue,"[""לשון ארוכה"",""Long Tongue"",""תנועה"",""heat"",""חום בלב"",""אש בלב"",""רוח-חום"",""חום"",""דיבור מהיר""]",
96,partial_coating,ציפוי,לשון עם ציפוי חלקי,Partial Coating,Bù Fèn Tāi,ציפוי רק באזורים מסוימים; חלקים חשופים; לא אחיד,"[""חוסר צי קיבה חלקי"",""התחלת נזק ליין"",""מחלה ממושכת""]","[""קיבה"",""טחול""]","חולשה התחלתית של צי או יין. מצביע על: חוסר צי קיבה חלקי, התחלת נזק ליין, מחלה ממושכת",בינוני,"חיזוק צי קיבה, הזנת יין","מצבים: תיאבון לא יציב, עיכול חלש, התאוששות ממחלה; טיפול: חיזוק צי קיבה, הזנת יין",2026-01-28 16:35:01.290655,tongue,"[""לשון עם ציפוי חלקי"",""Partial Coating"",""ציפוי"",""deficiency"",""חוסר צי קיבה חלקי"",""התחלת נזק ליין"",""מחלה ממושכת"",""תיאבון לא יציב"",""עיכול חלש""]",