id,table_name,enabled,priority,description,created_at,search_fields,weight,triggers_body_figures,triggers_csv_flash,csv_category,csv_title_he,csv_row_count
1,treatment_rag_acupoint_warnings_20260129,true,12,Acupoint Safety Warnings - 90 Critical Warnings,2026-01-24 13:54:27.647556,"[""point_number"",""point_number_hebrew"",""explanation""]",3,false,false,,,
2,acupuncture_points,false,4,[DEPRECATED] Standard Acupuncture Points Reference Database,2026-01-24 13:54:27.647556,"[""name_he"",""name_en"",""location_he"",""indications_he"",""functions_he""]",7,true,false,,,
4,reference_rag_body_images_20260129,true,13,Body Figure Images - 12 Visualizations,2026-01-24 13:54:27.647556,"[""body_part"",""body_part_hebrew"",""body_part_display_en"",""body_part_display_he""]",2,false,false,,,
5,v_symptom_acupoints,true,7,Symptom to Acupoint Mapping - Clinical Quick Reference,2026-01-24 13:54:27.647556,"[""option_text_he"",""symptom_explanation_he"",""pattern_indication""]",6,false,false,,,
6,diagnostic_rag_yinyang_protocols_20260129,true,11,Yin-Yang Treatment Protocols - 5 Patterns,2026-01-24 13:54:27.647556,"[""pattern_name_he"",""pattern_name_en"",""treatment_principle_he"",""patient_explanation_he""]",3,false,false,,,
7,diagnostic_rag_yinyang_symptoms_20260129,true,10,Yin-Yang Symptoms - 30 Patterns,2026-01-24 13:54:27.647556,"[""question_text_he"",""option_text_he"",""symptom_explanation_he"",""pattern_indication""]",4,false,false,,,
8,bible_rag_zangfu_syndromes_20260129,true,2,Zang-Fu Syndromes - Core Diagnosis,2026-01-24 13:54:27.647556,"[""name_he"",""name_en"",""symptoms_he"",""symptoms_en"",""etiology_he""]",9,false,true,syndrome,转住转 - 注 注拽,15
9,diagnostic_rag_pulse_patterns_20260129,true,8,Pulse Diagnosis - 23 Patterns,2026-01-24 16:13:41.718782,"[""pulse_name_he"",""pulse_name_en"",""characteristics"",""clinical_significance""]",5,false,true,pulse,驻拽 - 注 注拽,23
10,diagnostic_rag_tongue_findings_20260129,true,9,Tongue Diagnosis - 20 Findings,2026-01-24 16:13:41.718782,"[""finding_he"",""finding_en"",""characteristics"",""clinical_significance""]",5,false,true,tongue,砖 - 注 注拽,20
11,csv_32_589_hebrew_questions_20260201,true,3,"Clinical Cases Knowledge Base - 5,124 Cases",2026-01-24 16:46:17.592892,"[""question_hebrew"",""answer_hebrew"",""description_hebrew""]",8,false,true,qa,"砖转 转砖转 - 2,325",2325
12,treatment_rag_acupoints_gallery_20260129,true,1,Acupoints Gallery - 341 TCM Points - MOST AUTHORITATIVE,2026-01-25 15:44:34.434768,"[""point_code"",""chinese_characters"",""english_name"",""description""]",10,false,false,,,
13,bible_rag_training_syllabus_20260129,true,6,TCM Training Syllabus - 48 Topics,2026-01-25 15:44:34.434768,"[""name_hebrew"",""name_english"",""clinical_description"",""question_hebrew""]",6,false,true,training,住住 - 48 砖,48
14,bible_rag_dr_roni_knowledge_20260129,true,5,"Dr. Roni Bible - Translated TCM Knowledge (2,172 entries)",2026-01-29 17:49:46.638096,"[""content_he"",""content_en""]",7,false,false,,,
15,api_rag_unified_search_30jan2026,true,0," UNIFIED SEARCH - All 4,529 assets in one place!",2026-02-05 11:38:54.678045,"[""content_hebrew"",""title_hebrew"",""description_hebrew""]",5,false,false,,,